Time,Storage KM,Storage MK
2014-01-01 00:00:00,1.243,0.0
2014-01-01 01:00:00,1.181,0.0
2014-01-01 02:00:00,1.147,0.0
2014-01-01 03:00:00,1.131,0.0
2014-01-01 04:00:00,1.144,0.0
2014-01-01 05:00:00,1.15,0.0
2014-01-01 06:00:00,1.295,0.0
2014-01-01 07:00:00,0.0,2.013
2014-01-01 08:00:00,0.0,2.266
2014-01-01 09:00:00,0.0,2.314
2014-01-01 10:00:00,0.0,2.259
2014-01-01 11:00:00,0.0,2.175
2014-01-01 12:00:00,0.0,2.067
2014-01-01 13:00:00,1.697,0.0
2014-01-01 14:00:00,0.821,0.0
2014-01-01 15:00:00,0.853,0.0
2014-01-01 16:00:00,0.86,0.0
2014-01-01 17:00:00,0.827,0.0
2014-01-01 18:00:00,0.761,0.0
2014-01-01 19:00:00,0.712,0.0
2014-01-01 20:00:00,0.691,0.0
2014-01-01 21:00:00,0.693,0.0
2014-01-01 22:00:00,0.673,0.0
2014-01-01 23:00:00,0.633,0.0
2014-01-02 00:00:00,0.64,0.0
2014-01-02 01:00:00,0.715,0.0
2014-01-02 02:00:00,0.708,0.0
2014-01-02 03:00:00,0.702,0.0
2014-01-02 04:00:00,0.741,0.0
2014-01-02 05:00:00,0.838,0.0
2014-01-02 06:00:00,0.837,0.0
2014-01-02 07:00:00,0.0,1.124
2014-01-02 08:00:00,1.068,0.0
2014-01-02 09:00:00,1.22,0.0
2014-01-02 10:00:00,1.426,0.0
2014-01-02 11:00:00,1.538,0.0
2014-01-02 12:00:00,1.525,0.0
2014-01-02 13:00:00,1.102,0.0
2014-01-02 14:00:00,0.886,0.0
2014-01-02 15:00:00,1.096,0.0
2014-01-02 16:00:00,1.095,0.0
2014-01-02 17:00:00,1.069,0.0
2014-01-02 18:00:00,1.025,0.0
2014-01-02 19:00:00,0.985,0.0
2014-01-02 20:00:00,0.974,0.0
2014-01-02 21:00:00,0.927,0.0
2014-01-02 22:00:00,0.886,0.0
2014-01-02 23:00:00,0.882,0.0
2014-01-03 00:00:00,0.885,0.0
2014-01-03 01:00:00,0.904,0.0
2014-01-03 02:00:00,0.86,0.0
2014-01-03 03:00:00,0.817,0.0
2014-01-03 04:00:00,0.897,0.0
2014-01-03 05:00:00,0.822,0.0
2014-01-03 06:00:00,0.889,0.0
2014-01-03 07:00:00,0.0,1.073
2014-01-03 08:00:00,1.08,0.0
